participant,nuc_acc_to_nuc_acc,nuc_acc_to_caudate,nuc_acc_to_putamen,caudate_to_nuc_acc,caudate_to_caudate,caudate_to_putamen,putamen_to_nuc_acc,putamen_to_caudate,putamen_to_putamen
1,-0.121573776023598,0.161978226077998,0.131934834338307,0.179253691258188,-0.110163728469851,0.117773887381228,0.156940575878394,0.129355496694449,-0.0719085305546655
2,-0.115947513275506,0.13568684793034,0.113218448667085,0.130337901323606,-0.135074820505638,0.120290245810972,0.118358840932421,0.113704723891599,-0.104808649534571
3,-0.0736965548202538,0.0592888754382008,0.0667098496427461,0.0604616394777143,-0.0401944487866393,0.0401019495871623,0.0717829850175188,0.0434652762787975,-0.0363650990630356
4,-0.0993334661593359,0.0569465851653434,0.100278825820095,0.0525462572444365,-0.140938426350208,0.133694299373299,0.111004397719141,0.160321950710942,-0.0889776883646419
5,-0.188577567412799,0.0941248307189871,0.108909309917855,0.0679108841073091,-0.224243993469742,0.138384316348098,0.144079097600716,0.186982149892121,-0.130932128601393
6,-0.0838939299152795,0.0589928881101915,0.0506786580111308,0.074787273919344,-0.0487356133396494,0.0465492108233185,0.0609340569369426,0.0458904648866299,-0.0409251564765022
7,-0.127170481916011,0.124315781830482,0.048442229704597,0.126843808975847,-0.13500729909371,0.0725977032470384,0.0764557688089929,0.100937241532896,-0.0613223975514693
8,-0.110133572890333,0.135704269335648,0.11350075533378,0.13347032590112,-0.10581789845652,0.138572029586179,0.135653178634492,0.154032252019134,-0.0926582684980108
9,-0.157334407940295,0.102545390564018,0.0841996445698905,0.0618464876778082,-0.201558645405173,0.0808022562629692,0.106515665253666,0.109218522659462,-0.0978660630651375
10,-0.0570603997259217,0.114860576749992,0.0509848491918457,0.103588079119966,-0.110318036807161,0.0870328500057264,0.0583189520405844,0.108692243044387,-0.043216446728205
11,-0.107005690185283,0.172161869257108,0.127696393136577,0.154402158208478,-0.146875969638424,0.132588224886562,0.14506981260651,0.155518705343437,-0.0892801402485987
12,-0.101159636888917,0.134285826210192,0.111412969569887,0.144300468093225,-0.144466396109711,0.0901622830839707,0.123704455143196,0.0772620990140265,-0.0749339850067197
13,-0.155979138394946,0.155382074246662,0.114821072047466,0.162740042326027,-0.160527096859263,0.115873949133797,0.152180389940134,0.133133172965575,-0.119431821396992
14,-0.0964229043690026,0.154936858651955,0.156985665331031,0.151875334519525,-0.105780558838294,0.18073900314212,0.158169512814187,0.185042156644061,-0.108582312348504
15,-0.135612212578869,0.116721844174831,0.137052404981551,0.160448119459271,-0.0982164035169167,0.112965112215554,0.174442677156794,0.102110614872641,-0.074966433107413
16,-0.100484357321581,0.0589810674085092,0.0281607315957154,0.0849124895124634,-0.0712891640220467,0.060633668393932,0.0473195577051882,0.0720570773402918,-0.0472368183424992
