Participant,TE,Model,BIC
27,2,5,-590.688050408559
27,3,5,-590.688050408559
27,4,5,-590.688050408559
28,1,1,-5300.28287903151
28,2,1,-5300.28287903151
28,3,1,-5300.28287903151
28,4,1,-5300.28287903151
28,1,2,-5467.80050559952
28,2,2,-5467.80050559952
28,3,2,-5467.80050559952
28,4,2,-5467.80050559952
28,1,3,-5287.15207212019
28,2,3,-5287.15207212019
28,3,3,-5287.15207212019
28,4,3,-5287.15207212019
28,1,4,-5487.10723863358
28,2,4,-5487.10723863358
28,3,4,-5487.10723863358
28,4,4,-5487.10723863358
28,1,5,-5259.28663231312
28,2,5,-5259.28663231312
28,3,5,-5259.28663231312
28,4,5,-5259.28663231312
29,1,1,-48.7291653588144
29,2,1,-48.7291653588144
29,3,1,-48.7291653588144
29,4,1,-48.7291653588144
29,1,2,-59.8165504470353
29,2,2,-59.8165504470353
29,3,2,-59.8165504470353
29,4,2,-59.8165504470353
29,1,3,-51.2180963898089
29,2,3,-51.2180963898089
29,3,3,-51.2180963898089
29,4,3,-51.2180963898089
29,1,4,-72.8063882850063
29,2,4,-72.8063882850063
29,3,4,-72.8063882850063
29,4,4,-72.8063882850063
29,1,5,-51.8925332236004
29,2,5,-51.8925332236004
29,3,5,-51.8925332236004
29,4,5,-51.8925332236004
2,1,1,-2776.61485838421
2,2,1,-2776.61485838421
2,3,1,-2776.61485838421
2,4,1,-2776.61485838421
2,1,2,-2857.61038922843
2,2,2,-2857.61038922843
2,3,2,-2857.61038922843
2,4,2,-2857.61038922843
2,1,3,-2773.42440549156
2,2,3,-2773.42440549156
2,3,3,-2773.42440549156
2,4,3,-2773.42440549156
2,1,4,-2886.00337977304
2,2,4,-2886.00337977304
2,3,4,-2886.00337977304
2,4,4,-2886.00337977304
2,1,5,-2778.81641740511
2,2,5,-2778.81641740511
2,3,5,-2778.81641740511
2,4,5,-2778.81641740511
30,1,1,-135.539686030319
30,2,1,-135.539686030319
30,3,1,-135.539686030319
30,4,1,-135.539686030319
30,1,2,-130.999687473929
30,2,2,-130.999687473929
30,3,2,-130.999687473929
30,4,2,-130.999687473929
30,1,3,-134.563178168409
30,2,3,-134.563178168409
30,3,3,-134.563178168409
30,4,3,-134.563178168409
30,1,4,-136.25439057331
30,2,4,-136.25439057331
30,3,4,-136.25439057331
30,4,4,-136.25439057331
30,1,5,-146.202811747292
30,2,5,-146.202811747292
30,3,5,-146.202811747292
30,4,5,-146.202811747292
31,1,1,-2010.07931318902
31,2,1,-2010.07931318902
31,3,1,-2010.07931318902
31,4,1,-2010.07931318902
31,1,2,-2008.37847296915
31,2,2,-2008.37847296915
31,3,2,-2008.37847296915
31,4,2,-2008.37847296915
31,1,3,-2011.9511000052
31,2,3,-2011.9511000052
31,3,3,-2011.9511000052
31,4,3,-2011.9511000052
31,1,4,-2018.26946077863
31,2,4,-2018.26946077863
31,3,4,-2018.26946077863
31,4,4,-2018.26946077863
31,1,5,-2036.8683769566
31,2,5,-2036.8683769566
31,3,5,-2036.8683769566
31,4,5,-2036.8683769566
32,1,1,-3652.03907144803
32,2,1,-3652.03907144803
32,3,1,-3652.03907144803
32,4,1,-3652.03907144803
32,1,2,-3727.32827504324
32,2,2,-3727.32827504324
32,3,2,-3727.32827504324
32,4,2,-3727.32827504324
32,1,3,-3653.72081214367
32,2,3,-3653.72081214367
32,3,3,-3653.72081214367
32,4,3,-3653.72081214367
32,1,4,-3723.70114845428
32,2,4,-3723.70114845428
32,3,4,-3723.70114845428
32,4,4,-3723.70114845428
32,1,5,-3682.41254512384
32,2,5,-3682.41254512384
32,3,5,-3682.41254512384
32,4,5,-3682.41254512384
33,1,1,-3466.06886718299
33,2,1,-3466.06886718299
33,3,1,-3466.06886718299
33,4,1,-3466.06886718299
33,1,2,-3530.26436519797
33,2,2,-3530.26436519797
33,3,2,-3530.26436519797
33,4,2,-3530.26436519797
33,1,3,-3473.69670765603
33,2,3,-3473.69670765603
33,3,3,-3473.69670765603
33,4,3,-3473.69670765603
33,1,4,-3512.2277161308
33,2,4,-3512.2277161308
33,3,4,-3512.2277161308
33,4,4,-3512.2277161308
33,1,5,-3499.36882905516
33,2,5,-3499.36882905516
33,3,5,-3499.36882905516
33,4,5,-3499.36882905516
34,1,1,-1960.50835103659
34,2,1,-1960.50835103659
34,3,1,-1960.50835103659
34,4,1,-1960.50835103659
34,1,2,-1980.07742467812
34,2,2,-1980.07742467812
34,3,2,-1980.07742467812
34,4,2,-1980.07742467812
34,1,3,-1950.7996009048
34,2,3,-1950.7996009048
34,3,3,-1950.7996009048
34,4,3,-1950.7996009048
34,1,4,-1950.13834937919
34,2,4,-1950.13834937919
34,3,4,-1950.13834937919
34,4,4,-1950.13834937919
34,1,5,-1951.71923769048
34,2,5,-1951.71923769048
34,3,5,-1951.71923769048
34,4,5,-1951.71923769048
35,1,1,-2456.46610228392
35,2,1,-2456.46610228392
35,3,1,-2456.46610228392
35,4,1,-2456.46610228392
35,1,2,-2531.38477669599
35,2,2,-2531.38477669599
35,3,2,-2531.38477669599
35,4,2,-2531.38477669599
35,1,3,-2423.12528906642
35,2,3,-2423.12528906642
35,3,3,-2423.12528906642
35,4,3,-2423.12528906642
35,1,4,-2572.23202603649
35,2,4,-2572.23202603649
35,3,4,-2572.23202603649
35,4,4,-2572.23202603649
35,1,5,-2432.14599083133
35,2,5,-2432.14599083133
35,3,5,-2432.14599083133
35,4,5,-2432.14599083133
36,1,1,-5595.06303520033
36,2,1,-5595.06303520033
36,3,1,-5595.06303520033
36,4,1,-5595.06303520033
36,1,2,-5540.907022316
36,2,2,-5540.907022316
36,3,2,-5540.907022316
36,4,2,-5540.907022316
36,1,3,-5585.2359379243
36,2,3,-5585.2359379243
36,3,3,-5585.2359379243
36,4,3,-5585.2359379243
36,1,4,-5551.68703882736
36,2,4,-5551.68703882736
36,3,4,-5551.68703882736
36,4,4,-5551.68703882736
36,1,5,-5599.17594290523
36,2,5,-5599.17594290523
36,3,5,-5599.17594290523
36,4,5,-5599.17594290523
37,1,1,-488.076110212924
37,2,1,-488.076110212924
37,3,1,-488.076110212924
37,4,1,-488.076110212924
37,1,2,-469.074359613681
37,2,2,-469.074359613681
37,3,2,-469.074359613681
37,4,2,-469.074359613681
37,1,3,-480.525136258413
37,2,3,-480.525136258413
37,3,3,-480.525136258413
37,4,3,-480.525136258413
37,1,4,-467.90321243921
37,2,4,-467.90321243921
37,3,4,-467.90321243921
37,4,4,-467.90321243921
37,1,5,-492.814147750191
37,2,5,-492.814147750191
37,3,5,-492.814147750191
37,4,5,-492.814147750191
38,1,1,-5480.64053587193
38,2,1,-5480.64053587193
38,3,1,-5480.64053587193
38,4,1,-5480.64053587193
38,1,2,-5549.02696877807
38,2,2,-5549.02696877807
38,3,2,-5549.02696877807
38,4,2,-5549.02696877807
38,1,3,-5476.59471890355
38,2,3,-5476.59471890355
38,3,3,-5476.59471890355
38,4,3,-5476.59471890355
38,1,4,-5621.30284387197
38,2,4,-5621.30284387197
38,3,4,-5621.30284387197
38,4,4,-5621.30284387197
38,1,5,-5498.26552307251
38,2,5,-5498.26552307251
38,3,5,-5498.26552307251
38,4,5,-5498.26552307251
39,1,1,-4842.50789799496
39,2,1,-4842.50789799496
39,3,1,-4842.50789799496
39,4,1,-4842.50789799496
39,1,2,-4827.03095233223
39,2,2,-4827.03095233223
39,3,2,-4827.03095233223
39,4,2,-4827.03095233223
39,1,3,-4843.10941658115
39,2,3,-4843.10941658115
39,3,3,-4843.10941658115
39,4,3,-4843.10941658115
39,1,4,-4851.14897765596
39,2,4,-4851.14897765596
39,3,4,-4851.14897765596
39,4,4,-4851.14897765596
39,1,5,-4901.08218851044
39,2,5,-4901.08218851044
39,3,5,-4901.08218851044
39,4,5,-4901.08218851044
3,1,1,226.876536653954
3,2,1,226.876536653954
3,3,1,226.876536653954
3,4,1,226.876536653954
3,1,2,236.047162528801
3,2,2,236.047162528801
3,3,2,236.047162528801
3,4,2,236.047162528801
3,1,3,236.409101720295
3,2,3,236.409101720295
3,3,3,236.409101720295
3,4,3,236.409101720295
3,1,4,248.556891902851
3,2,4,248.556891902851
3,3,4,248.556891902851
3,4,4,248.556891902851
3,1,5,236.232831606789
3,2,5,236.232831606789
3,3,5,236.232831606789
3,4,5,236.232831606789
40,1,1,-10047.2033825612
40,2,1,-10047.2033825612
40,3,1,-10047.2033825612
40,4,1,-10047.2033825612
40,1,2,-10416.2888049678
40,2,2,-10416.2888049678
40,3,2,-10416.2888049678
40,4,2,-10416.2888049678
40,1,3,-10010.0820451911
40,2,3,-10010.0820451911
40,3,3,-10010.0820451911
40,4,3,-10010.0820451911
40,1,4,-10530.8817391676
40,2,4,-10530.8817391676
40,3,4,-10530.8817391676
40,4,4,-10530.8817391676
40,1,5,-10012.6188747353
40,2,5,-10012.6188747353
40,3,5,-10012.6188747353
40,4,5,-10012.6188747353
41,1,1,-2793.12346752203
41,2,1,-2793.12346752203
41,3,1,-2793.12346752203
41,4,1,-2793.12346752203
41,1,2,-2887.23254894055
41,2,2,-2887.23254894055
41,3,2,-2887.23254894055
41,4,2,-2887.23254894055
41,1,3,-2800.6166249843
41,2,3,-2800.6166249843
41,3,3,-2800.6166249843
41,4,3,-2800.6166249843
41,1,4,-2931.3687000019
41,2,4,-2931.3687000019
41,3,4,-2931.3687000019
41,4,4,-2931.3687000019
41,1,5,-2801.39751408508
41,2,5,-2801.39751408508
41,3,5,-2801.39751408508
41,4,5,-2801.39751408508
42,1,1,-5567.01162484892
42,2,1,-5567.01162484892
42,3,1,-5567.01162484892
42,4,1,-5567.01162484892
42,1,2,-5655.05313980768
42,2,2,-5655.05313980768
42,3,2,-5655.05313980768
42,4,2,-5655.05313980768
42,1,3,-5577.41733914841
42,2,3,-5577.41733914841
42,3,3,-5577.41733914841
42,4,3,-5577.41733914841
42,1,4,-5742.28980652571
42,2,4,-5742.28980652571
42,3,4,-5742.28980652571
42,4,4,-5742.28980652571
42,1,5,-5605.00132981326
42,2,5,-5605.00132981326
42,3,5,-5605.00132981326
42,4,5,-5605.00132981326
43,1,1,-10392.7080505631
43,2,1,-10392.7080505631
43,3,1,-10392.7080505631
43,4,1,-10392.7080505631
43,1,2,-10379.6590684768
43,2,2,-10379.6590684768
43,3,2,-10379.6590684768
43,4,2,-10379.6590684768
43,1,3,-10393.7851158387
43,2,3,-10393.7851158387
43,3,3,-10393.7851158387
43,4,3,-10393.7851158387
43,1,4,-10300.4640282544
43,2,4,-10300.4640282544
43,3,4,-10300.4640282544
43,4,4,-10300.4640282544
43,1,5,-10473.5882400558
43,2,5,-10473.5882400558
43,3,5,-10473.5882400558
43,4,5,-10473.5882400558
44,1,1,368.876996734502
44,2,1,368.876996734502
44,3,1,368.876996734502
44,4,1,368.876996734502
44,1,2,364.461486562295
44,2,2,364.461486562295
44,3,2,364.461486562295
44,4,2,364.461486562295
44,1,3,369.001282754431
44,2,3,369.001282754431
44,3,3,369.001282754431
44,4,3,369.001282754431
44,1,4,364.116092527501
44,2,4,364.116092527501
44,3,4,364.116092527501
44,4,4,364.116092527501
44,1,5,371.243306348877
44,2,5,371.243306348877
44,3,5,371.243306348877
44,4,5,371.243306348877
45,1,1,-9371.71082148857
45,2,1,-9371.71082148857
45,3,1,-9371.71082148857
45,4,1,-9371.71082148857
45,1,2,-9429.95205980984
45,2,2,-9429.95205980984
45,3,2,-9429.95205980984
45,4,2,-9429.95205980984
45,1,3,-9352.54399469888
45,2,3,-9352.54399469888
45,3,3,-9352.54399469888
45,4,3,-9352.54399469888
45,1,4,-9448.22804912495
45,2,4,-9448.22804912495
45,3,4,-9448.22804912495
45,4,4,-9448.22804912495
45,1,5,-9370.53490236766
45,2,5,-9370.53490236766
45,3,5,-9370.53490236766
45,4,5,-9370.53490236766
46,1,1,-4763.98868964115
46,2,1,-4763.98868964115
46,3,1,-4763.98868964115
46,4,1,-4763.98868964115
46,1,2,-4730.60937601025
46,2,2,-4730.60937601025
46,3,2,-4730.60937601025
46,4,2,-4730.60937601025
46,1,3,-4763.8401730258
46,2,3,-4763.8401730258
46,3,3,-4763.8401730258
46,4,3,-4763.8401730258
46,1,4,-4755.14521767518
46,2,4,-4755.14521767518
46,3,4,-4755.14521767518
46,4,4,-4755.14521767518
46,1,5,-4601.69760503813
46,2,5,-4601.69760503813
46,3,5,-4601.69760503813
46,4,5,-4601.69760503813
47,1,1,-7759.0840345667
47,2,1,-7759.0840345667
47,3,1,-7759.0840345667
47,4,1,-7759.0840345667
47,1,2,-7889.44937452855
47,2,2,-7889.44937452855
47,3,2,-7889.44937452855
47,4,2,-7889.44937452855
47,1,3,-7759.99013532367
47,2,3,-7759.99013532367
47,3,3,-7759.99013532367
47,4,3,-7759.99013532367
47,1,4,-7931.39710663714
47,2,4,-7931.39710663714
47,3,4,-7931.39710663714
47,4,4,-7931.39710663714
47,1,5,-7803.81065219648
47,2,5,-7803.81065219648
47,3,5,-7803.81065219648
47,4,5,-7803.81065219648
48,1,1,-9452.26517182201
48,2,1,-9452.26517182201
48,3,1,-9452.26517182201
48,4,1,-9452.26517182201
48,1,2,-9670.7259093448
48,2,2,-9670.7259093448
48,3,2,-9670.7259093448
48,4,2,-9670.7259093448
48,1,3,-9433.27179825613
48,2,3,-9433.27179825613
48,3,3,-9433.27179825613
48,4,3,-9433.27179825613
48,1,4,-9776.18497188414
48,2,4,-9776.18497188414
48,3,4,-9776.18497188414
48,4,4,-9776.18497188414
48,1,5,-9434.49759907324
48,2,5,-9434.49759907324
48,3,5,-9434.49759907324
48,4,5,-9434.49759907324
49,1,1,-4395.63931645742
49,2,1,-4395.63931645742
49,3,1,-4395.63931645742
49,4,1,-4395.63931645742
49,1,2,-4499.68842901855
49,2,2,-4499.68842901855
49,3,2,-4499.68842901855
49,4,2,-4499.68842901855
49,1,3,-4410.29481992817
49,2,3,-4410.29481992817
49,3,3,-4410.29481992817
49,4,3,-4410.29481992817
49,1,4,-4538.97346597844
49,2,4,-4538.97346597844
49,3,4,-4538.97346597844
49,4,4,-4538.97346597844
49,1,5,-4480.27385036023
49,2,5,-4480.27385036023
49,3,5,-4480.27385036023
49,4,5,-4480.27385036023
4,1,1,-1680.19802567856
4,2,1,-1680.19802567856
4,3,1,-1680.19802567856
4,4,1,-1680.19802567856
4,1,2,-1651.94970049636
4,2,2,-1651.94970049636
4,3,2,-1651.94970049636
4,4,2,-1651.94970049636
4,1,3,-1673.4698812274
4,2,3,-1673.4698812274
4,3,3,-1673.4698812274
4,4,3,-1673.4698812274
4,1,4,-1652.11364449599
4,2,4,-1652.11364449599
4,3,4,-1652.11364449599
4,4,4,-1652.11364449599
4,1,5,-1701.52491959117
4,2,5,-1701.52491959117
4,3,5,-1701.52491959117
4,4,5,-1701.52491959117
50,1,1,-4783.20011047603
50,2,1,-4783.20011047603
50,3,1,-4783.20011047603
50,4,1,-4783.20011047603
50,1,2,-4756.84107862195
50,2,2,-4756.84107862195
50,3,2,-4756.84107862195
50,4,2,-4756.84107862195
50,1,3,-4781.77815574838
50,2,3,-4781.77815574838
50,3,3,-4781.77815574838
50,4,3,-4781.77815574838
50,1,4,-4780.15536445379
50,2,4,-4780.15536445379
50,3,4,-4780.15536445379
50,4,4,-4780.15536445379
50,1,5,-4788.87692074889
50,2,5,-4788.87692074889
50,3,5,-4788.87692074889
50,4,5,-4788.87692074889
51,1,1,-5053.36007466711
51,2,1,-5053.36007466711
51,3,1,-5053.36007466711
51,4,1,-5053.36007466711
51,1,2,-5040.21624809583
51,2,2,-5040.21624809583
51,3,2,-5040.21624809583
51,4,2,-5040.21624809583
51,1,3,-5050.93920759347
51,2,3,-5050.93920759347
51,3,3,-5050.93920759347
51,4,3,-5050.93920759347
51,1,4,-5092.04767867829
51,2,4,-5092.04767867829
51,3,4,-5092.04767867829
51,4,4,-5092.04767867829
51,1,5,-5079.41650693935
51,2,5,-5079.41650693935
51,3,5,-5079.41650693935
51,4,5,-5079.41650693935
52,1,1,-7948.53420827296
52,2,1,-7948.53420827296
52,3,1,-7948.53420827296
52,4,1,-7948.53420827296
52,1,2,-7934.84713647602
52,2,2,-7934.84713647602
52,3,2,-7934.84713647602
52,4,2,-7934.84713647602
52,1,3,-7939.50286084025
52,2,3,-7939.50286084025
52,3,3,-7939.50286084025
52,4,3,-7939.50286084025
52,1,4,-8034.68077770784
52,2,4,-8034.68077770784
52,3,4,-8034.68077770784
52,4,4,-8034.68077770784
52,1,5,-7962.32783161936
52,2,5,-7962.32783161936
52,3,5,-7962.32783161936
52,4,5,-7962.32783161936
53,1,1,-2687.56479805855
53,2,1,-2687.56479805855
53,3,1,-2687.56479805855
53,4,1,-2687.56479805855
53,1,2,-2595.69916442862
53,2,2,-2595.69916442862
